timestamp,pod,cpu_millicores
1772360180,websocket-server-5f4f67c6f4-vrqjr,92
1772360180,websocket-server-5f4f67c6f4-xhx94,89
1772360180,websocket-server-5f4f67c6f4-xzbwh,100
1772360180,websocket-server-5f4f67c6f4-z5ftb,71
1772360185,websocket-loadgen-4kcbz,35
1772360185,websocket-server-5f4f67c6f4-45fb2,96
1772360185,websocket-server-5f4f67c6f4-65l82,78
1772360185,websocket-server-5f4f67c6f4-7w5zm,92
1772360185,websocket-server-5f4f67c6f4-87z6g,95
1772360185,websocket-server-5f4f67c6f4-88jgf,96
1772360185,websocket-server-5f4f67c6f4-8g2fl,87
1772360185,websocket-server-5f4f67c6f4-96fbm,95
1772360185,websocket-server-5f4f67c6f4-dgcgd,80
1772360185,websocket-server-5f4f67c6f4-hd5jb,111
1772360185,websocket-server-5f4f67c6f4-k82hd,86
1772360185,websocket-server-5f4f67c6f4-kfn6d,88
1772360185,websocket-server-5f4f67c6f4-vrqjr,79
1772360185,websocket-server-5f4f67c6f4-xhx94,93
1772360185,websocket-server-5f4f67c6f4-xzbwh,104
1772360185,websocket-server-5f4f67c6f4-z5ftb,79
1772360190,websocket-loadgen-4kcbz,35
1772360190,websocket-server-5f4f67c6f4-45fb2,96
1772360190,websocket-server-5f4f67c6f4-65l82,78
1772360190,websocket-server-5f4f67c6f4-7w5zm,92
1772360190,websocket-server-5f4f67c6f4-87z6g,95
1772360190,websocket-server-5f4f67c6f4-88jgf,96
1772360190,websocket-server-5f4f67c6f4-8g2fl,87
1772360190,websocket-server-5f4f67c6f4-96fbm,95
1772360190,websocket-server-5f4f67c6f4-dgcgd,80
1772360190,websocket-server-5f4f67c6f4-hd5jb,111
1772360190,websocket-server-5f4f67c6f4-k82hd,86
1772360190,websocket-server-5f4f67c6f4-kfn6d,88
1772360190,websocket-server-5f4f67c6f4-vrqjr,79
1772360190,websocket-server-5f4f67c6f4-xhx94,93
1772360190,websocket-server-5f4f67c6f4-xzbwh,104
1772360190,websocket-server-5f4f67c6f4-z5ftb,79
1772360195,websocket-loadgen-4kcbz,35
1772360195,websocket-server-5f4f67c6f4-45fb2,96
1772360195,websocket-server-5f4f67c6f4-65l82,78
1772360195,websocket-server-5f4f67c6f4-7w5zm,92
1772360195,websocket-server-5f4f67c6f4-87z6g,95
1772360195,websocket-server-5f4f67c6f4-88jgf,96
1772360195,websocket-server-5f4f67c6f4-8g2fl,87
1772360195,websocket-server-5f4f67c6f4-96fbm,95
1772360195,websocket-server-5f4f67c6f4-dgcgd,80
1772360195,websocket-server-5f4f67c6f4-hd5jb,111
1772360195,websocket-server-5f4f67c6f4-k82hd,86
1772360195,websocket-server-5f4f67c6f4-kfn6d,88
1772360195,websocket-server-5f4f67c6f4-vrqjr,79
1772360195,websocket-server-5f4f67c6f4-xhx94,93
1772360195,websocket-server-5f4f67c6f4-xzbwh,104
1772360195,websocket-server-5f4f67c6f4-z5ftb,79
1772360200,websocket-loadgen-4kcbz,43
1772360200,websocket-server-5f4f67c6f4-45fb2,112
1772360200,websocket-server-5f4f67c6f4-65l82,84
1772360200,websocket-server-5f4f67c6f4-7w5zm,88
1772360200,websocket-server-5f4f67c6f4-87z6g,101
1772360200,websocket-server-5f4f67c6f4-88jgf,104
1772360200,websocket-server-5f4f67c6f4-8g2fl,72
1772360200,websocket-server-5f4f67c6f4-96fbm,97
1772360200,websocket-server-5f4f67c6f4-dgcgd,72
1772360200,websocket-server-5f4f67c6f4-hd5jb,87
1772360200,websocket-server-5f4f67c6f4-k82hd,108
1772360200,websocket-server-5f4f67c6f4-kfn6d,91
1772360200,websocket-server-5f4f67c6f4-vrqjr,89
1772360200,websocket-server-5f4f67c6f4-xhx94,110
1772360200,websocket-server-5f4f67c6f4-xzbwh,116
1772360200,websocket-server-5f4f67c6f4-z5ftb,80
1772360205,websocket-loadgen-4kcbz,43
1772360205,websocket-server-5f4f67c6f4-45fb2,112
1772360205,websocket-server-5f4f67c6f4-65l82,84
1772360205,websocket-server-5f4f67c6f4-7w5zm,88
1772360205,websocket-server-5f4f67c6f4-87z6g,101
1772360205,websocket-server-5f4f67c6f4-88jgf,104
1772360205,websocket-server-5f4f67c6f4-8g2fl,72
1772360205,websocket-server-5f4f67c6f4-96fbm,97
1772360205,websocket-server-5f4f67c6f4-dgcgd,72
1772360205,websocket-server-5f4f67c6f4-hd5jb,87
1772360205,websocket-server-5f4f67c6f4-k82hd,108
1772360205,websocket-server-5f4f67c6f4-kfn6d,91
1772360205,websocket-server-5f4f67c6f4-vrqjr,89
1772360205,websocket-server-5f4f67c6f4-xhx94,110
1772360205,websocket-server-5f4f67c6f4-xzbwh,116
1772360205,websocket-server-5f4f67c6f4-z5ftb,80
1772360210,websocket-loadgen-4kcbz,43
